Years,Months,Dates,Hours,TotalHeating
2014,6,24,4,158.7
2014,6,24,5,164
2014,6,24,6,170.3
2014,6,24,7,191
2014,6,24,8,192.9
2014,6,24,9,183.5
2014,6,24,10,171.3
2014,6,24,11,166.9
2014,6,24,12,159
2014,6,24,13,155.6
2014,6,24,14,148.3
2014,6,24,15,146.2
2014,6,24,16,145.9
2014,6,24,17,144.2
2014,6,24,18,149.6
2014,6,24,19,154.3
2014,6,24,20,155.4
2014,6,24,21,152.9
2014,6,24,22,153.3
2014,6,24,23,155.1
2014,6,25,0,150.4
2014,6,25,1,148.2
2014,6,25,2,146.7
2014,6,25,3,152.1
2014,6,25,4,150.8
2014,6,25,5,155.6
2014,6,25,6,161.6
2014,6,25,7,181.3
2014,6,25,8,173.3
2014,6,25,9,164.1
2014,6,25,10,162.5
2014,6,25,11,149.8
2014,6,25,12,151.7
2014,6,25,13,153.3
2014,6,25,14,149
2014,6,25,15,144.3
2014,6,25,16,139.5
2014,6,25,17,140.6
2014,6,25,18,141.1
2014,6,25,19,150.1
2014,6,25,20,152.5
2014,6,25,21,151.1
2014,6,25,22,147.4
2014,6,25,23,149.7
2014,6,26,0,145.1
2014,6,26,1,140.9
2014,6,26,2,144.3
2014,6,26,3,143.7
2014,6,26,4,145.1
2014,6,26,5,148.6
2014,6,26,6,155.1
2014,6,26,7,175.7
2014,6,26,8,173.4
2014,6,26,9,164.1
2014,6,26,10,156.8
2014,6,26,11,149.1
2014,6,26,12,146.8
2014,6,26,13,142.5
2014,6,26,14,145.4
2014,6,26,15,140.1
2014,6,26,16,145.8
2014,6,26,17,142.6
2014,6,26,18,142.9
2014,6,26,19,150.2
2014,6,26,20,152.7
2014,6,26,21,152.7
2014,6,26,22,149.5
2014,6,26,23,150
2014,6,27,0,146.6
2014,6,27,1,144.1
2014,6,27,2,142.2
2014,6,27,3,140.9
2014,6,27,4,143.2
2014,6,27,5,147.8
2014,6,27,6,152.3
2014,6,27,7,176.7
2014,6,27,8,177.3
2014,6,27,9,166.2
2014,6,27,10,156.8
2014,6,27,11,152.8
2014,6,27,12,148.1
2014,6,27,13,147.9
2014,6,27,14,141.8
2014,6,27,15,143.2
2014,6,27,16,152
2014,6,27,17,149.5
2014,6,27,18,151.3
2014,6,27,19,150.3
2014,6,27,20,150.1
2014,6,27,21,151.8
2014,6,27,22,151
2014,6,27,23,146.5
2014,6,28,0,143.2
2014,6,28,1,139.9
2014,6,28,2,139.1
2014,6,28,3,140.2
2014,6,28,4,140.1
2014,6,28,5,140.4
2014,6,28,6,142.2
2014,6,28,7,145.6
2014,6,28,8,152.5
2014,6,28,9,163.7
2014,6,28,10,163.4
2014,6,28,11,162.3
2014,6,28,12,159.5
2014,6,28,13,155.6
2014,6,28,14,148.7
2014,6,28,15,145.6
2014,6,28,16,141.8
2014,6,28,17,141.7
2014,6,28,18,140.1
2014,6,28,19,143.1
2014,6,28,20,143.8
2014,6,28,21,138.5
2014,6,28,22,137.5
2014,6,28,23,130.7
2014,6,29,0,130.6
2014,6,29,1,127.8
2014,6,29,2,125.3
2014,6,29,3,126.3
2014,6,29,4,127
2014,6,29,5,127.9
2014,6,29,6,128
2014,6,29,7,129.6
2014,6,29,8,136.3
2014,6,29,9,143.8
2014,6,29,10,148.4
2014,6,29,11,150
2014,6,29,12,148.7
2014,6,29,13,148.2
2014,6,29,14,144
2014,6,29,15,138.1
2014,6,29,16,135.7
2014,6,29,17,135.3
2014,6,29,18,136.6
2014,6,29,19,140.7
2014,6,29,20,140.4
2014,6,29,21,139.6
2014,6,29,22,141.1
2014,6,29,23,142
2014,6,30,0,141.4
2014,6,30,1,136.5
2014,6,30,2,138.6
2014,6,30,3,140.1
2014,6,30,4,145.1
2014,6,30,5,145.1
2014,6,30,6,154.3
2014,6,30,7,170.1
2014,6,30,8,171.2
2014,6,30,9,162.4
2014,6,30,10,156.1
2014,6,30,11,156.4
2014,6,30,12,151.7
2014,6,30,13,148.9
2014,6,30,14,139.4
2014,6,30,15,134.1
2014,6,30,16,131.3
2014,6,30,17,131.3
2014,6,30,18,135.1
2014,6,30,19,141.9
2014,6,30,20,143.6
2014,6,30,21,144
2014,6,30,22,143.1
2014,6,30,23,140.5
2014,7,1,0,136.9
2014,7,1,1,137.8
2014,7,1,2,136.2
2014,7,1,3,141.3
2014,7,1,4,140.4
2014,7,1,5,145.9
2014,7,1,6,153.5
2014,7,1,7,171
2014,7,1,8,174.4
2014,7,1,9,165.2
2014,7,1,10,160.4
2014,7,1,11,152.9
2014,7,1,12,148.9
2014,7,1,13,1183.9
2014,7,1,14,135.2
2014,7,1,15,134.3
2014,7,1,16,135.1
2014,7,1,17,138.2
2014,7,1,18,138.2
2014,7,1,19,148.5
2014,7,1,20,149.8
2014,7,1,21,143.3
2014,7,1,22,147.4
2014,7,1,23,144.9
2014,7,2,0,143
2014,7,2,1,137.6
2014,7,2,2,139.9
2014,7,2,3,139.1
2014,7,2,4,142.3
2014,7,2,5,142.7
2014,7,2,6,149.4
2014,7,2,7,171.1
2014,7,2,8,171.2
2014,7,2,9,164.4
2014,7,2,10,161
2014,7,2,11,154.7
2014,7,2,12,136.9
2014,7,2,13,157.9
2014,7,2,14,152.8
2014,7,2,15,144.9
2014,7,2,16,145.4
2014,7,2,17,144.9
2014,7,2,18,150.5
2014,7,2,19,156.8
2014,7,2,20,154.1
2014,7,2,21,154.5
2014,7,2,22,152.8
2014,7,2,23,156
2014,7,3,0,150.1
2014,7,3,1,147.6
2014,7,3,2,146.5
2014,7,3,3,147.9
2014,7,3,4,148.6
2014,7,3,5,146.5
2014,7,3,6,154
2014,7,3,7,167
2014,7,3,8,169.3
2014,7,3,9,167.6
2014,7,3,10,165.4
2014,7,3,11,159.9
2014,7,3,12,144.1
2014,7,3,13,164.6
2014,7,3,14,150.6
2014,7,3,15,147.6
2014,7,3,16,142.5
2014,7,3,17,143.2
2014,7,3,18,143.5
2014,7,3,19,147.9
2014,7,3,20,145.9
2014,7,3,21,146.1
2014,7,3,22,144.7
2014,7,3,23,141.4
2014,7,4,0,134.5
2014,7,4,1,126.4
2014,7,4,2,126
2014,7,4,3,127.2
2014,7,4,4,125.4
2014,7,4,5,126.9
2014,7,4,6,133.7
2014,7,4,7,157.8
2014,7,4,8,164.5
2014,7,4,9,158.9
2014,7,4,10,152.9
2014,7,4,11,999114.1
2014,7,4,12,141.2
2014,7,4,13,130.3
2014,7,4,14,126.4
2014,7,4,15,126.2
2014,7,4,16,123.1
2014,7,4,17,125.8
2014,7,4,18,124.2
2014,7,4,19,127.7
