Years,Months,Dates,Hours,NL_load_
2010,1,31,8,11588
2010,1,31,9,12250
2010,1,31,10,12528
2010,1,31,11,12633
2010,1,31,12,12459
2010,1,31,13,12378
2010,1,31,14,12222
2010,1,31,15,12323
2010,1,31,16,13637
2010,1,31,17,14625
2010,1,31,18,14486
2010,1,31,19,14028
2010,1,31,20,13281
2010,1,31,21,12430
2010,1,31,22,11293
2010,1,31,23,10340
2010,2,1,0,9824
2010,2,1,1,9607
2010,2,1,2,9572
2010,2,1,3,9690
2010,2,1,4,10148
2010,2,1,5,11646
2010,2,1,6,14158
2010,2,1,7,15661
2010,2,1,8,16221
2010,2,1,9,16389
2010,2,1,10,16427
2010,2,1,11,16279
2010,2,1,12,16409
2010,2,1,13,16268
2010,2,1,14,16165
2010,2,1,15,16088
2010,2,1,16,16517
2010,2,1,17,16644
2010,2,1,18,16380
2010,2,1,19,15544
2010,2,1,20,14576
2010,2,1,21,13357
2010,2,1,22,12281
2010,2,1,23,11122
2010,2,2,0,10367
2010,2,2,1,9997
2010,2,2,2,9912
2010,2,2,3,9970
2010,2,2,4,10366
2010,2,2,5,11883
2010,2,2,6,14432
2010,2,2,7,15968
2010,2,2,8,16593
2010,2,2,9,16774
2010,2,2,10,16912
2010,2,2,11,16877
2010,2,2,12,16935
2010,2,2,13,16775
2010,2,2,14,16590
2010,2,2,15,16638
2010,2,2,16,17135
2010,2,2,17,16868
2010,2,2,18,16476
2010,2,2,19,15580
2010,2,2,20,14667
2010,2,2,21,13490
2010,2,2,22,12408
2010,2,2,23,11144
2010,2,3,0,10397
2010,2,3,1,10055
2010,2,3,2,9954
2010,2,3,3,9967
2010,2,3,4,10383
2010,2,3,5,11833
2010,2,3,6,14315
2010,2,3,7,15671
2010,2,3,8,16316
2010,2,3,9,16216
2010,2,3,10,16179
2010,2,3,11,15985
2010,2,3,12,16030
2010,2,3,13,15964
2010,2,3,14,15718
2010,2,3,15,15633
2010,2,3,16,16214
2010,2,3,17,16477
2010,2,3,18,15994
2010,2,3,19,15278
2010,2,3,20,14441
2010,2,3,21,13299
2010,2,3,22,12288
2010,2,3,23,11008
2010,2,4,0,10231
2010,2,4,1,9857
2010,2,4,2,9751
2010,2,4,3,9806
2010,2,4,4,10192
2010,2,4,5,11681
2010,2,4,6,14184
2010,2,4,7,15623
2010,2,4,8,16214
2010,2,4,9,16305
2010,2,4,10,16243
2010,2,4,11,16067
2010,2,4,12,16122
2010,2,4,13,16032
2010,2,4,14,15883
2010,2,4,15,15877
2010,2,4,16,16298
2010,2,4,17,16415
2010,2,4,18,16096
2010,2,4,19,15327
2010,2,4,20,14290
2010,2,4,21,13089
2010,2,4,22,12051
2010,2,4,23,10989
2010,2,5,0,10260
2010,2,5,1,9889
2010,2,5,2,9827
2010,2,5,3,9861
2010,2,5,4,10245
2010,2,5,5,11634
2010,2,5,6,14150
2010,2,5,7,15692
2010,2,5,8,16367
2010,2,5,9,16479
2010,2,5,10,16588
2010,2,5,11,16338
2010,2,5,12,16289
2010,2,5,13,16162
2010,2,5,14,15833
2010,2,5,15,15791
2010,2,5,16,16199
2010,2,5,17,16170
2010,2,5,18,15638
2010,2,5,19,14744
